Departamento ,Año ,Mes, Promedios_moviles_Ocupados_H , Promedios_Moviles_Ocupados_M , Promedios_Moviles_Ocupados_Total , Promedios_Moviles_Desocupados_H , Promedios_Moviles_Desocupados_M , Promedios_Moviles_Des_Total , Promedios_Moviles_Inac_H , Promedios_Moviles_Inac_M , Promedios_Moviles_Inac_T 
ATLANTIDA,2013,1/1/2013," 66,016.25 "," 16,593.92 "," 82,610.17 "," 1,460.62 ", 350.84 ," 1,811.46 "," 46,720.55 "," 98,747.27 "," 145,467.82 "
COLON,2013,1/2/2013," 66,018.86 "," 16,594.37 "," 82,613.23 "," 1,460.68 ", 350.83 ," 1,811.51 "," 46,721.40 "," 98,750.35 "," 145,471.75 "
COMAYAGUA,2013,1/3/2013," 66,018.34 "," 16,594.45 "," 82,612.79 "," 1,460.67 ", 350.83 ," 1,811.51 "," 46,721.55 "," 98,750.01 "," 145,471.56 "
COPAN,2013,1/4/2013," 66,017.82 "," 16,594.25 "," 82,612.06 "," 1,460.66 ", 350.83 ," 1,811.49 "," 46,721.17 "," 98,749.21 "," 145,470.38 "
CORTES,2013,1/5/2013," 66,018.34 "," 16,594.35 "," 82,612.69 "," 1,460.67 ", 350.83 ," 1,811.50 "," 46,721.37 "," 98,749.86 "," 145,471.23 "
CHOLUTECA,2013,1/6/2013," 66,018.17 "," 16,594.35 "," 82,612.52 "," 1,460.67 ", 350.83 ," 1,811.50 "," 46,721.36 "," 98,749.69 "," 145,471.06 "
EL PARAISO ,2013,1/7/2013," 66,018.11 "," 16,594.32 "," 82,612.42 "," 1,460.67 ", 350.83 ," 1,811.50 "," 46,721.30 "," 98,749.59 "," 145,470.89 "
FRANCISCO MORAZAN,2013,1/8/2013," 66,018.21 "," 16,594.34 "," 82,612.54 "," 1,460.67 ", 350.83 ," 1,811.50 "," 46,721.35 "," 98,749.71 "," 145,471.06 "
GRACIAS A DIOS ,2013,1/9/2013," 66,018.16 "," 16,594.33 "," 82,612.50 "," 1,460.67 ", 350.83 ," 1,811.50 "," 46,721.34 "," 98,749.66 "," 145,471.00 "
INTIBUCA,2013,1/10/2013," 66,018.16 "," 16,594.33 "," 82,612.49 "," 1,460.67 ", 350.83 ," 1,811.50 "," 46,721.33 "," 98,749.65 "," 145,470.98 "
ISLAS DE LA BAHIA,2013,1/11/2013," 66,018.17 "," 16,594.33 "," 82,612.51 "," 1,460.67 ", 350.83 ," 1,811.50 "," 46,721.34 "," 98,749.68 "," 145,471.01 "
LA PAZ,2013,1/12/2013," 66,018.16 "," 16,594.33 "," 82,612.50 "," 1,460.67 ", 350.83 ," 1,811.50 "," 46,721.33 "," 98,749.66 "," 145,471.00 "
LEMPIRA ,2013,1/1/2013," 66,018.17 "," 16,594.33 "," 82,612.50 "," 1,460.67 ", 350.83 ," 1,811.50 "," 46,721.33 "," 98,749.66 "," 145,471.00 "
OCOTEPEQUE,2013,1/2/2013," 66,018.17 "," 16,594.33 "," 82,612.50 "," 1,460.67 ", 350.83 ," 1,811.50 "," 46,721.33 "," 98,749.67 "," 145,471.00 "
OLANCHO ,2013,1/3/2013," 66,018.17 "," 16,594.33 "," 82,612.50 "," 1,460.67 ", 350.83 ," 1,811.50 "," 46,721.33 "," 98,749.67 "," 145,471.00 "
SANTA BARBARA,2013,1/4/2013," 66,018.17 "," 16,594.33 "," 82,612.50 "," 1,460.67 ", 350.83 ," 1,811.50 "," 46,721.33 "," 98,749.67 "," 145,471.00 "
VALLE,2013,1/5/2013," 66,018.17 "," 16,594.33 "," 82,612.50 "," 1,460.67 ", 350.83 ," 1,811.50 "," 46,721.33 "," 98,749.67 "," 145,471.00 "
YORO,2013,1/6/2013," 66,018.17 "," 16,594.33 "," 82,612.50 "," 1,460.67 ", 350.83 ," 1,811.50 "," 46,721.33 "," 98,749.67 "," 145,471.00 "
